Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3400;2018;Agglomération de Montpellier;;;;;;8,6;10,2;12,3;14,8;17,7;11,4;400;478;600;745;960;641;56;11754;78224;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Maison 1-3P;8,2;8,9;11;13,7;15,4;10,8;493;590;650;800;895;691;64;140;3047;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Ensemble 4P+;6,8;8,4;9,8;11,1;12,2;9,5;625;750;950;1105;1300;948;100;1303;15020;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Maison 4P+;7,9;8,8;10;11,3;12,5;9,7;699;900;1035;1200;1332;1043;108;452;6590;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Appart 1P;12,5;14,3;16,4;19,4;22;16,1;347;380;410;460;500;420;26;2866;17123;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Appart 2P;10,3;11,9;13,1;14,8;16,3;13;454;510;560;608;660;560;43;4739;25611;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Appart 3P;8,3;9,5;10,8;12,1;13,2;10,6;574;627;700;780;850;708;67;2706;17424;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Appart 4P+;6,7;8;9,6;10,9;11,9;9,3;590;706;838;995;1150;869;93;851;8430;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Ensemble 1P;12,5;14,3;16,4;19,4;21,9;16,1;347;380;410;460;500;420;26;2870;17314;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Ensemble 2P;10,1;11,8;13,1;14,9;16,3;12,9;454;510;560;610;657;560;43;4756;26288;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;;Ensemble 3P;8,3;9,4;10,8;12,1;13,3;10,6;557;625;705;787;860;710;67;2825;19603;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;1. Moins de 1 an;;8,8;10,8;12,8;15,7;19,2;11,9;397;454;572;706;851;609;51;3822;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;1. Moins de 1 an;Ensemble 4P+;5,5;8,2;9,6;11,1;12,1;9,3;460;725;906;1140;1229;910;98;353;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;1. Moins de 1 an;Ensemble 1P;12,5;14,5;17;20;22,2;16,3;350;380;418;460;482;426;26;1098;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;1. Moins de 1 an;Ensemble 2P;10,3;11,9;13;14,8;16,3;13,1;470;525;570;630;680;572;44;1499;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;1. Moins de 1 an;Ensemble 3P;8,2;10;11,4;12,5;13,3;10,9;550;624;700;770;845;705;64;872;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;2. 1 an et plus;;8,6;10;12,1;14,5;16,9;11,2;400;499;600;760;997;658;59;7932;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;;2. 1 an et plus;Ensemble 4P+;;;;;;;;;;;;;;950;;
B3400;2018;Agglomération de Montpellier;;;;2. 1 an et plus;Ensemble 1P;;;;;;;;;;;;;;1772;;
B3400;2018;Agglomération de Montpellier;;;;2. 1 an et plus;Ensemble 2P;;;;;;;;;;;;;;3257;;
B3400;2018;Agglomération de Montpellier;;;;2. 1 an et plus;Ensemble 3P;;;;;;;;;;;;;;1953;;
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;;;8,2;10,4;13,2;15,9;19,8;11,8;370;450;536;730;890;606;51;1858;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;;Ensemble 4P+;6,2;7,9;8,8;12,2;13,3;9,3;700;750;1000;1200;1701;1031;111;157;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;;Ensemble 1P;12,1;13,4;16,2;20;23,1;16,1;350;380;440;477;523;437;27;529;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;;Ensemble 2P;8,9;11,8;14,3;16;17,1;13,2;375;475;526;580;650;528;40;719;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;;Ensemble 3P;7,8;9,1;11,1;13,2;13,8;10,8;500;600;715;790;900;702;65;453;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;1. Moins de 1 an;;9;11,5;13,4;17,8;21,6;12,8;391;460;518;685;750;567;44;674;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;1. Avant 1946;2. 1 an et plus;;8,1;9,7;12,9;15,3;17,5;11,3;369;450;540;740;950;630;56;1184;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;2. Entre 1946-1970;;;8;9;11;13,3;15,8;10,5;393;507;626;745;962;654;62;1224;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;2. Entre 1946-1970;;Ensemble 4P+;5,8;8;9,6;11,3;12,1;9,4;524;693;835;980;1105;851;90;296;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;2. Entre 1946-1970;;Ensemble 1P;12,5;13,5;15,2;20;25,3;16,1;340;380;390;400;438;390;24;215;;Estimation directe
B3400;2018;Agglomération de Montpellier;;;2. Entre 1946-1970;;Ensemble 2P;8,7;10,5;12,4;14,2;15,8;12,1;400;500;580;620;660;558;46;309;;Estimation directe
